wavelength,flux,sigma
17.070728,0.210288,0.002816
17.083969,0.206474,0.007216
17.09721,0.21264,0.00432
17.110449,0.220414,0.004054
17.123684,0.208637,0.003943
17.136917,0.206206,0.003943
17.150148,0.209827,0.003553
17.162975,0.201007,0.011494
17.176201,0.211082,0.004626
17.189426,0.212936,0.004076
17.202648,0.207898,0.004308
17.215868,0.207026,0.004901
17.228682,0.209356,0.004357
17.241896,0.213709,0.003748
17.255108,0.213343,0.004024
17.268318,0.211722,0.004389
17.281528,0.204455,0.003688
17.294735,0.212351,0.004267
17.307938,0.20788,0.003465
17.32114,0.207292,0.003514
17.334339,0.205867,0.003712
17.347538,0.214611,0.004181
17.360733,0.20774,0.00295
17.373928,0.21833,0.003597
17.387117,0.212334,0.003234
17.400307,0.215495,0.002829
17.413494,0.213284,0.00274
17.426678,0.214873,0.003092
17.439861,0.213445,0.00407
17.453041,0.212254,0.003781
17.466219,0.211711,0.003864
17.479393,0.213096,0.004103
17.492569,0.218577,0.003613
17.505741,0.217692,0.003669
17.518496,0.223551,0.005342
17.531662,0.213431,0.004433
17.544827,0.219149,0.004193
17.557989,0.214023,0.004332
17.570734,0.22058,0.003783
17.584309,0.215416,0.004673
17.597466,0.2219,0.005011
17.610161,0.217161,0.005469
17.62331,0.224791,0.005262
17.636417,0.227894,0.005381
17.649565,0.218179,0.004851
17.662708,0.207532,0.003008
17.67585,0.225448,0.004209
17.688992,0.218998,0.003379
17.702129,0.219753,0.003429
17.715267,0.220608,0.003913
17.728401,0.223698,0.003438
17.741531,0.220703,0.003943
17.754662,0.21349,0.004206
17.76779,0.222082,0.003238
17.780914,0.219943,0.003751
17.794039,0.226777,0.004277
17.807159,0.214536,0.003919
17.820278,0.224737,0.004312
17.833397,0.220088,0.004968
17.846512,0.214889,0.00424
17.859623,0.218462,0.010106
17.872734,0.231733,0.004703
17.885843,0.217796,0.004095
17.898523,0.223345,0.005633
17.912579,0.222424,0.004564
17.927101,0.228984,0.005091
17.94162,0.221369,0.005473
17.955647,0.219073,0.005579
17.970161,0.219705,0.004673
17.984673,0.22925,0.005565
17.99918,0.229936,0.006248
18.013195,0.221116,0.004412
18.027699,0.218506,0.00408
18.0422,0.22741,0.006458
18.056698,0.221567,0.004135
18.071194,0.22304,0.003845
18.08569,0.222399,0.003411
18.10018,0.223142,0.004177
18.11467,0.226712,0.00478
18.129154,0.215224,0.004303
18.143639,0.219331,0.003697
18.158121,0.221764,0.003667
18.1726,0.23439,0.003519
18.187077,0.224329,0.004512
18.201611,0.232185,0.004966
18.216084,0.226789,0.004672
18.229994,0.223088,0.005272
18.244579,0.228908,0.005234
18.259045,0.225596,0.004596
18.273506,0.231118,0.005629
18.287966,0.231345,0.006008
18.301922,0.223399,0.003598
18.316376,0.22432,0.003779
18.330826,0.224444,0.003708
18.345276,0.230124,0.003786
18.359724,0.224913,0.003259
18.374168,0.234443,0.003576
18.388611,0.230629,0.003557
18.403051,0.2301,0.003123
18.417488,0.23144,0.003718
18.431923,0.230782,0.004302
18.446358,0.232638,0.004464
18.460787,0.238054,0.004392
18.475216,0.228578,0.004332
18.489643,0.238091,0.085878
18.504065,0.232895,0.004661
18.517977,0.225166,0.004556
18.532394,0.229202,0.005619
18.54681,0.235425,0.004818
18.560713,0.225493,0.004019
18.575123,0.231989,0.003696
18.589531,0.238384,0.004199
18.603937,0.220765,0.004039
18.61834,0.235455,0.003988
18.63274,0.236021,0.004579
18.647141,0.233259,0.003751
18.661537,0.233089,0.003771
18.67593,0.233058,0.077768
18.690323,0.225106,0.003491
18.704712,0.23732,0.003591
18.719097,0.24165,0.004154
18.733482,0.23215,0.003888
18.747864,0.238079,0.004091
18.762245,0.245861,0.005006
18.776623,0.241315,0.004179
18.790997,0.232272,0.004968
18.80485,0.236297,0.004856
18.81922,0.23823,0.003997
18.833588,0.239427,0.005042
18.847431,0.240001,0.005212
18.861794,0.248237,0.004776
18.876154,0.231246,0.003063
18.890511,0.233335,0.003628
18.904869,0.240313,0.004538
18.91922,0.238109,0.003952
18.933571,0.241085,0.003286
18.94792,0.243798,0.003728
18.962265,0.238238,0.005902
18.97661,0.24033,0.004423
18.990952,0.254974,0.00463
19.005291,0.246372,0.004271
19.019627,0.241046,0.004823
19.033962,0.244204,0.004015
19.048294,0.239282,0.004485
19.062626,0.244883,0.005029
19.076885,0.245968,0.061428
19.090614,0.237816,0.005026
19.104935,0.243995,0.005531
19.119255,0.244864,0.005542
19.133574,0.245373,0.004326
19.147888,0.232045,0.00555
19.161669,0.250794,0.004771
19.17598,0.241636,0.005486
19.190287,0.242331,0.004999
19.204592,0.242385,0.00515
19.218895,0.250655,0.005474
19.233196,0.238121,0.017474
19.247496,0.24687,0.004075
19.261791,0.247546,0.004706
19.276085,0.226436,0.004385
19.290379,0.261809,0.004251
19.304668,0.235085,0.004965
19.318954,0.248811,0.004395
19.333241,0.245435,0.005138
19.347523,0.245385,0.006367
19.361803,0.246925,0.006003
19.376081,0.255225,0.004832
19.389816,0.23098,0.004463
19.404089,0.253368,0.006874
19.41836,0.255363,0.005535
19.432629,0.252849,0.007474
19.446754,0.23441,0.00575
19.50325,0.260235,0.001649
19.518805,0.261743,0.001753
19.53434,0.255628,0.004351
19.549858,0.250556,0.1125
19.596104,0.254883,0.002174
19.611557,0.248589,0.001876
19.626993,0.265376,0.003597
19.642414,0.259508,0.004557
19.657818,0.255518,0.007991
19.673204,0.266832,0.007181
19.688576,0.259037,0.008384
19.703907,0.258596,0.011806
19.719246,0.256514,0.009464
19.734364,0.271619,0.078076
19.74967,0.267199,0.006232
19.764961,0.26571,0.009902
19.780235,0.280653,0.007737
19.795492,0.259671,0.144472
19.810734,0.259113,0.007889
19.825962,0.263245,0.007757
19.841171,0.256114,0.010437
19.856365,0.257824,0.008375
